species	group
Ascophyllum-nodosum_MALE	Fucales
Chordaria-linearis	Ectocarpales
Choristocarpus-tenellus	Discosporangiales
Chrysoparadoxa-australica	Out
Desmarestia-dudresnayi	Desmarestiales
Desmarestia-herbacea_MALE	Desmarestiales
Dictyota-dichotoma_MALE	Dictyotales
Discosporangium-mesarthrocarpum	Discosporangiales
Ectocarpus-crouaniorum-2c_MALE	Ectocarpales
Ectocarpus-fasciculatus_MALE	Ectocarpales
Ectocarpus-siliculosus-1a_MALE	Ectocarpales
Ectocarpus-sp12_SP	Ectocarpales
Ectocarpus-sp13_SP	Ectocarpales
Ectocarpus-sp1_MALE	Ectocarpales
Ectocarpus-sp2_MALE	Ectocarpales
Ectocarpus-sp3_FEMALE	Ectocarpales
Ectocarpus-sp5_FEMALE	Ectocarpales
Ectocarpus-sp6_SP	Ectocarpales
Ectocarpus-sp8_SP	Ectocarpales
Ectocarpus-sp9_FEMALE	Ectocarpales
Feldmannia-mitchelliae	Ectocarpales
Fucus-distichus	Fucales
Fucus-serratus_MALE	Fucales
Halopteris-paniculata	Sphacelariales
Hapterophycus-canaliculatus_MALE	Ectocarpales
Heribaudiella-fluviatilis	Sphacelariales
Heterosigma-akashiwo	Out
Himanthalia-elongata	Fucales
Laminaria-digitata_MALE	Laminariales
Laminarionema-elsbetiae	Ectocarpales
Macrocystis-pyrifera_MALE	Laminariales
Myriotrichia-clavaeformis_FEMALE	Ectocarpales
Pelvetia-canaliculata	Fucales
Phaeothamnion-wetherbeei	Out
Pleurocladia-lacustris	Ectocarpales
Porterinema-fluviatile	Ralfsiales
Pylaiella-littoralis	Ectocarpales
Saccharina-latissima_FEMALE	Laminariales
Saccorhiza-dermatodea	Tilopteridales
Saccorhiza-polyschides_MALE	Tilopteridales
Schizocladia-ischiensis	Out
Scytosiphon-promiscuus_MALE	Ectocarpales
Sphacelaria-rigidula_FEMALE	Sphacelariales
Sphaerotrichia-firma_MALE	Ectocarpales
Cladosiphon-okamuranus	Ectocarpales
Ectocarpus-sp7	Ectocarpales
Ectocarpus-subulatus	Ectocarpales
Saccharina-japonica	Laminariales
Sargassum-fusiforme	Fucales
Tribonema-minus	Out
Undaria-pinnatifida	Laminariales
Aphanomyces-euteiches	Outgroup
Aureococcus-anophagefferens	Outgroup
Fistulifera-solaris	Outgroup
Fragilariopsis-cylindrus	Outgroup
Nannochloropsis-gaditana	Outgroup
Nannochloropsis-oceanica	Outgroup
Phaeodactylum-tricornutum	Outgroup
Phytophthora-infestans	Outgroup
Pythium-ultimum	Outgroup
Saprolegnia-parasitica	Outgroup
Thalassiosira-pseudonana	Outgroup